"State","Agency_Type","Agency_name","Total_incidents_bias_motivation","Bias_Motivation_Race_Ethnicity_Ancestry","Bias_Motivation_Religion","Bias_Motivation_Sexual_orientation","Bias_Motivation_Disability","Bias_Motivation_Gender","Bias_Motivation_Gender_Identity","Total_incidents_Q1_to_Q4","No_of_incidents_Q1","No_of_incidents_Q2","No_of_incidents_Q3","No_of_incidents_Q4","Population"
"Colorado","Cities","Nederland",1,1,0,0,0,0,0,1,0,0,1,0,"1,534"
"Colorado","Cities","Pueblo",1,1,0,0,0,0,0,1,0,0,0,1,"109,927"
"Colorado","Cities","Sterling",1,1,0,0,0,0,0,1,0,0,0,1,"14,087"
"Colorado","Universities and Colleges","Auraria Higher Education Center ",1,0,0,1,0,0,0,1,0,1,0,0,
"Colorado","Universities and Colleges","University of Colorado, Boulder",6,2,3,1,0,0,0,6,2,0,2,2,"33,056"
"Colorado","Universities and Colleges","University of Northern Colorado",1,0,0,1,0,0,0,1,0,0,1,0,"12,216"
"Colorado","Metropolitan Counties","Adams",1,1,0,0,0,0,0,1,0,0,1,0,
"Colorado","Metropolitan Counties","Arapahoe",5,2,1,2,0,0,0,5,0,3,1,1,
"Colorado","Metropolitan Counties","Boulder",2,1,1,0,0,0,0,2,0,0,0,2,
"Colorado","Metropolitan Counties","Douglas",2,2,0,0,0,0,0,2,0,0,1,1,
"Colorado","Metropolitan Counties","El Paso",1,1,0,0,0,0,0,1,1,0,0,0,
"Colorado","Metropolitan Counties","Larimer",13,6,6,1,0,0,0,8,0,2,1,5,
"Colorado","Metropolitan Counties","Mesa",1,1,0,0,0,0,0,1,1,0,0,0,
"Colorado","Metropolitan Counties","Teller",1,1,0,0,0,0,0,1,0,1,0,0,
"Colorado","Nonmetropolitan Counties","Custer",1,1,0,0,0,0,0,1,0,0,1,0,
"Colorado","Nonmetropolitan Counties","Garfield",1,1,0,0,0,0,0,1,1,0,0,0,
"Colorado","Nonmetropolitan Counties","San Juan",1,1,0,0,0,0,0,1,0,0,1,0,
"Colorado","Nonmetropolitan Counties","Summit",1,0,1,0,0,0,0,1,0,0,0,1,
"Connecticut","Cities","Bloomfield",2,0,1,1,0,0,0,2,1,1,0,0,"20,801"
"Connecticut","Cities","Bridgeport",6,5,1,0,0,0,0,6,0,4,2,0,"148,180"
"Connecticut","Cities","Bristol",2,0,0,2,0,0,0,2,0,0,1,1,"60,445"
"Connecticut","Cities","Clinton",1,1,0,0,0,0,0,1,0,0,1,0,"13,008"
"Connecticut","Cities","Danbury",9,3,5,1,0,0,0,9,1,1,1,6,"85,335"
"Connecticut","Cities","Darien",1,0,1,0,0,0,0,1,0,0,1,0,"21,995"
